"","X1","site.ID","year","storm.num","response","HI","precip","temp","precip.week","precip.month","ThreeMonth","temp.week","TOTAL.TIME","Intensity","doy","burn","pf"
"1",1,"STRT",2021,"storm1a","NO3",-0.078842315,35.8,5.876177951,5.2,43.4,80,7.109984375,47.5,0.753684211,226.0659722,"burned","high"
"2",2,"STRT",2021,"storm1b","NO3",-0.547869125,6.4,4.596690104,40,65.4,116,5.81897247,63.5,0.100787402,228.0659722,"burned","high"
"3",3,"STRT",2021,"storm2a","NO3",0.793733244,5.4,5.630585069,6.2,51,122.8,4.565552827,23.5,0.229787234,230.7326389,"burned","high"
"4",4,"STRT",2021,"storm2b","NO3",0.253839662,3,6.100810535,10.6,54.2,112.2,5.345837798,52.5,0.057142857,231.7326389,"burned","high"
"5",5,"STRT",2021,"storm3","NO3",0.642205638,5.6,5.166807292,12.6,36.6,107.8,7.549301339,31.5,0.177777778,236.6076389,"burned","high"
"6",6,"STRT",2021,"storm1a","fDOM",-0.42028126,35.8,5.876177951,5.2,43.4,80,7.109984375,47.5,0.753684211,226.0659722,"burned","high"
"7",7,"STRT",2021,"storm1b","fDOM",-0.311918598,6.4,4.596690104,40,65.4,116,5.81897247,63.5,0.100787402,228.0659722,"burned","high"
"8",8,"STRT",2021,"storm2a","fDOM",0.162160219,5.4,5.630585069,6.2,51,122.8,4.565552827,23.5,0.229787234,230.7326389,"burned","high"
"9",9,"STRT",2021,"storm2b","fDOM",-0.268002894,3,6.100810535,10.6,54.2,112.2,5.345837798,52.5,0.057142857,231.7326389,"burned","high"
"10",10,"STRT",2021,"storm3","fDOM",-0.62163452,5.6,5.166807292,12.6,36.6,107.8,7.549301339,31.5,0.177777778,236.6076389,"burned","high"
"11",11,"STRT",2021,"storm1a","SPC",0.910634155,35.8,5.876177951,5.2,43.4,80,7.109984375,47.5,0.753684211,226.0659722,"burned","high"
"12",12,"STRT",2021,"storm1b","SPC",-0.355320845,6.4,4.596690104,40,65.4,116,5.81897247,63.5,0.100787402,228.0659722,"burned","high"
"13",13,"STRT",2021,"storm2a","SPC",0.418067227,5.4,5.630585069,6.2,51,122.8,4.565552827,23.5,0.229787234,230.7326389,"burned","high"
"14",14,"STRT",2021,"storm2b","SPC",0.534035779,3,6.100810535,10.6,54.2,112.2,5.345837798,52.5,0.057142857,231.7326389,"burned","high"
"15",15,"STRT",2021,"storm3","SPC",0.51945245,5.6,5.166807292,12.6,36.6,107.8,7.549301339,31.5,0.177777778,236.6076389,"burned","high"
"16",16,"STRT",2021,"storm1a","turb",-0.175429261,35.8,5.876177951,5.2,43.4,80,7.109984375,47.5,0.753684211,226.0659722,"burned","high"
"17",17,"STRT",2021,"storm1b","turb",0.13854805,6.4,4.596690104,40,65.4,116,5.81897247,63.5,0.100787402,228.0659722,"burned","high"
"18",18,"STRT",2021,"storm2a","turb",-0.2144727,5.4,5.630585069,6.2,51,122.8,4.565552827,23.5,0.229787234,230.7326389,"burned","high"
"19",19,"STRT",2021,"storm2b","turb",-0.174207716,3,6.100810535,10.6,54.2,112.2,5.345837798,52.5,0.057142857,231.7326389,"burned","high"
"20",20,"STRT",2021,"storm3","turb",-0.375591378,5.6,5.166807292,12.6,36.6,107.8,7.549301339,31.5,0.177777778,236.6076389,"burned","high"
