"","site.ID","Q","datetimeAK","fDOM","SPC","Turb","NO3","ABS_254"
"12312","VAUL",78.7218306824294,2022-09-14 05:45:00,299.051153937352,724.981818181818,18.9181818181818,13.2225579517328,0.690894117647059
"12313","VAUL",79.7159240731542,2022-09-14 06:00:00,299.543115745431,724.9,17.9590909090909,13.0367588613387,0.689305882352941
"12314","VAUL",79.5416733179283,2022-09-14 06:15:00,299.243640574384,725.009090909091,18.9318181818182,12.9527674917086,0.689329411764706
"12315","VAUL",81.3428124549659,2022-09-14 06:30:00,299.035686674301,725.590909090909,18.7254545454545,12.9514948951989,0.6924
"12316","VAUL",80.6646430880369,2022-09-14 06:45:00,298.389399670001,725.581818181818,19.0836363636364,12.9578578777467,0.690576470588235
"12317","VAUL",80.6027235050046,2022-09-14 07:00:00,298.289813128375,725.318181818182,20.2327272727273,12.8509597709446,0.691629411764706
"12318","VAUL",81.87915072941,2022-09-14 07:15:00,298.312575968616,724.427272727273,20.4045454545455,12.6206198027165,0.691523529411765
"12319","VAUL",81.6254750884717,2022-09-14 07:30:00,297.93944341531,724.309090909091,20.6345454545455,12.6460717329074,0.693982352941176
"12320","VAUL",81.6427305032851,2022-09-14 07:45:00,297.329644484738,723.245454545455,22.0963636363636,12.4691808180803,0.698358823529412
"12321","VAUL",82.5053960279834,2022-09-14 08:00:00,296.384490621644,723.018181818182,24.3181818181818,12.2439312358901,0.701223529411765
"12322","VAUL",82.8526086431212,2022-09-14 08:15:00,295.909171630424,721.854545454545,26.2363636363636,11.90669316086,0.704158823529412
"12323","VAUL",83.7533623395416,2022-09-14 08:30:00,294.909835062961,720.790909090909,30.0027272727273,11.832882563306,0.707535294117647
"12324","VAUL",84.3783450467883,2022-09-14 08:45:00,295.913770686441,719.109090909091,28.7627272727273,11.5083704533712,0.713676470588235
"12325","VAUL",85.0330512582096,2022-09-14 09:00:00,297.143343064401,716.490909090909,30.37,11.2793030816527,0.719017647058824
"12326","VAUL",84.3822380367158,2022-09-14 09:15:00,297.865642498847,714.872727272727,31.3754545454545,11.0515083064434,0.723852941176471
"12327","VAUL",84.7684857670692,2022-09-14 09:30:00,NA,NA,NA,NA,NA
"12328","VAUL",85.8672558700634,2022-09-14 09:45:00,NA,NA,NA,NA,NA
"12329","VAUL",86.4565703723001,2022-09-14 10:00:00,NA,NA,NA,NA,NA
"12330","VAUL",87.0625089936861,2022-09-14 10:15:00,NA,NA,NA,NA,NA
"12331","VAUL",87.3740534038132,2022-09-14 10:30:00,NA,NA,NA,NA,NA
"12332","VAUL",88.6435889838872,2022-09-14 10:45:00,NA,NA,NA,NA,NA
"12333","VAUL",88.1408145955746,2022-09-14 11:00:00,NA,NA,NA,NA,NA
"12334","VAUL",88.3100018334953,2022-09-14 11:15:00,NA,NA,NA,NA,NA
"12335","VAUL",88.6117085528607,2022-09-14 11:30:00,NA,NA,NA,NA,NA
"12336","VAUL",88.1824801093902,2022-09-14 11:45:00,NA,NA,NA,NA,NA
"12337","VAUL",88.3306241585159,2022-09-14 12:00:00,NA,NA,NA,NA,NA
"12338","VAUL",89.371472884348,2022-09-14 12:15:00,NA,NA,NA,NA,NA
"12339","VAUL",89.5671745401526,2022-09-14 12:30:00,NA,NA,NA,NA,NA
"12340","VAUL",90.3286749347144,2022-09-14 12:45:00,NA,NA,NA,NA,NA
"12341","VAUL",90.9357183235124,2022-09-14 13:00:00,NA,NA,NA,NA,NA
"12342","VAUL",90.8003054036088,2022-09-14 13:15:00,NA,NA,NA,NA,NA
"12343","VAUL",92.6589976620036,2022-09-14 13:30:00,NA,NA,NA,NA,NA
"12344","VAUL",93.8041679962925,2022-09-14 13:45:00,NA,NA,NA,NA,NA
