"","DateTime","fDOM.QSU","Q","Site","day","nitrateuM","SpCond.uScm","Turbidity.FNU"
"1",2021-05-06 14:30:00,84.87,551.722701558378,"POKE",2021-05-06,NA,60.18,62.316
"2",2021-05-06 14:45:00,83.8116666666667,551.724362791516,"POKE",2021-05-06,NA,59.6333333333333,60.0066666666667
"3",2021-05-06 15:00:00,83.426,551.726024024683,"POKE",2021-05-06,NA,59.68,60.42
"4",2021-05-06 15:15:00,84.4816666666667,551.727685257822,"POKE",2021-05-06,NA,59.6666666666667,63.9316666666667
"5",2021-05-06 15:30:00,84.184,551.729346490989,"POKE",2021-05-06,NA,59.78,59.924
"6",2021-05-06 15:45:00,83.4366666666667,551.731007724127,"POKE",2021-05-06,NA,59.7833333333333,69.2266666666667
"7",2021-05-06 16:00:00,84.28,551.732668957266,"POKE",2021-05-06,NA,59.78,53.684
"8",2021-05-06 16:15:00,83.0316666666667,551.734330190433,"POKE",2021-05-06,NA,59.7166666666667,65.8716666666667
"9",2021-05-06 16:30:00,82.642,551.735991423542,"POKE",2021-05-06,NA,59.64,57.78
"10",2021-05-06 16:45:00,81.315,551.73765265671,"POKE",2021-05-06,NA,59.5333333333333,87.47
"11",2021-05-06 17:00:00,80.938,551.739313889877,"POKE",2021-05-06,NA,59.44,67.458
"12",2021-05-06 17:15:00,79.8783333333333,551.740975122986,"POKE",2021-05-06,NA,59.35,60.745
"13",2021-05-06 17:30:00,77.4,551.742636356154,"POKE",2021-05-06,NA,59.08,78.304
"14",2021-05-06 17:45:00,75.1983333333333,551.744297589292,"POKE",2021-05-06,NA,58.8666666666667,77.3066666666667
"15",2021-05-06 18:00:00,76.064,551.74595882243,"POKE",2021-05-06,NA,58.76,92.924
"16",2021-05-06 18:15:00,75.4216666666667,551.747620055568,"POKE",2021-05-06,NA,58.6,83.885
"17",2021-05-06 18:30:00,76.84,551.749281288707,"POKE",2021-05-06,NA,58.38,95.008
"18",2021-05-06 18:45:00,75.92,551.750942521845,"POKE",2021-05-06,NA,58.1666666666667,81.6716666666667
"19",2021-05-06 19:00:00,75.854,551.752603754983,"POKE",2021-05-06,NA,57.94,77.408
"20",2021-05-06 19:15:00,76.9883333333333,551.754264988151,"POKE",2021-05-06,NA,57.7666666666667,66.465
"21",2021-05-06 19:30:00,75.082,551.75592622126,"POKE",2021-05-06,NA,57.56,92.784
"22",2021-05-06 19:45:00,73.6216666666667,551.757587454456,"POKE",2021-05-06,NA,57.35,80.47
"23",2021-05-06 20:00:00,74.778,551.759248687595,"POKE",2021-05-06,NA,57.06,89.96
"24",2021-05-06 20:15:00,74.7166666666667,551.760909920733,"POKE",2021-05-06,NA,56.8666666666667,93.8783333333333
"25",2021-05-06 20:30:00,74.388,551.762571153871,"POKE",2021-05-06,NA,56.76,78.568
"26",2021-05-06 20:45:00,73.775,551.764232387039,"POKE",2021-05-06,NA,56.45,76.63
"27",2021-05-06 21:00:00,74.082,551.765893620177,"POKE",2021-05-06,NA,56.16,101.032
"28",2021-05-06 21:15:00,73.505,551.767554853315,"POKE",2021-05-06,NA,55.9666666666667,81.2716666666667
"29",2021-05-06 21:30:00,73.268,551.769216086483,"POKE",2021-05-06,NA,55.74,105.354
"30",2021-05-06 21:45:00,73.1,551.770877319621,"POKE",2021-05-06,NA,55.4833333333333,84.0533333333333
"31",2021-05-06 22:00:00,72.464,551.772538552759,"POKE",2021-05-06,NA,55.28,92.09
"32",2021-05-06 22:15:00,73.3033333333333,551.774199785927,"POKE",2021-05-06,NA,55.1,76.8483333333333
"33",2021-05-06 22:30:00,73.564,551.775861019065,"POKE",2021-05-06,NA,54.98,75.88
"34",2021-05-06 22:45:00,74.1616666666667,551.777522252203,"POKE",2021-05-06,NA,54.7833333333333,77.2616666666667
"35",2021-05-06 23:00:00,74.474,551.779183485341,"POKE",2021-05-06,NA,54.66,84.23
"36",2021-05-06 23:15:00,75.6733333333333,551.780844718509,"POKE",2021-05-06,NA,54.5333333333333,87.5983333333333
"37",2021-05-06 23:30:00,75.826,551.782505951618,"POKE",2021-05-06,NA,54.32,87.514
"38",2021-05-06 23:45:00,77.5383333333333,551.784167184785,"POKE",2021-05-06,NA,54.1166666666667,78.51
"39",2021-05-07 00:00:00,78.04,551.785828417953,"POKE",2021-05-07,NA,53.98,89.842
"40",2021-05-07 00:15:00,77.295,551.787489651062,"POKE",2021-05-07,NA,53.8833333333333,85.39
